date,title,citations,year,venue
2026-04-18,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-19,AutoML: A survey of the state-of-the-art,2646,2021,
2026-04-19,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-19,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,136,2025,
2026-04-19,Benchmarking the performance and energy efficiency of AI accelerators for AI training,126,2020,
2026-04-19,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-19,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-19,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-19,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-19,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,32,2026,
2026-04-19,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-19,Computer-aided clinical skin disease diagnosis using CNN and object detection models,24,2019,
2026-04-19,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-19,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-19,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-19,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-19,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-19,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-19,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-19,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-19,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-20,AutoML: A survey of the state-of-the-art,2649,2021,
2026-04-20,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-20,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,137,2025,
2026-04-20,Benchmarking the performance and energy efficiency of AI accelerators for AI training,126,2020,
2026-04-20,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-20,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-20,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-20,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-20,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,32,2026,
2026-04-20,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-20,Computer-aided clinical skin disease diagnosis using CNN and object detection models,24,2019,
2026-04-20,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-20,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-20,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-20,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-20,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-20,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-20,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-20,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-20,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-21,AutoML: A survey of the state-of-the-art,2657,2021,
2026-04-21,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-21,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,138,2025,
2026-04-21,Benchmarking the performance and energy efficiency of AI accelerators for AI training,126,2020,
2026-04-21,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-21,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-21,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-21,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-21,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,32,2026,
2026-04-21,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-21,Computer-aided clinical skin disease diagnosis using CNN and object detection models,25,2019,
2026-04-21,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-21,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-21,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-21,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-21,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-21,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-21,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-21,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-21,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-22,AutoML: A survey of the state-of-the-art,2660,2021,
2026-04-22,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-22,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,138,2025,
2026-04-22,Benchmarking the performance and energy efficiency of AI accelerators for AI training,126,2020,
2026-04-22,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-22,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-22,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-22,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-22,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,32,2026,
2026-04-22,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-22,Computer-aided clinical skin disease diagnosis using CNN and object detection models,25,2019,
2026-04-22,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-22,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-22,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-22,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-22,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-22,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-22,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-22,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-22,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-23,AutoML: A survey of the state-of-the-art,2660,2021,
2026-04-23,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-23,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,138,2025,
2026-04-23,Benchmarking the performance and energy efficiency of AI accelerators for AI training,126,2020,
2026-04-23,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-23,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-23,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-23,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-23,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,32,2026,
2026-04-23,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-23,Computer-aided clinical skin disease diagnosis using CNN and object detection models,25,2019,
2026-04-23,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-23,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-23,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-23,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-23,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-23,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-23,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-23,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-23,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-24,AutoML: A survey of the state-of-the-art,2662,2021,
2026-04-24,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-24,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,138,2025,
2026-04-24,Benchmarking the performance and energy efficiency of AI accelerators for AI training,126,2020,
2026-04-24,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-24,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-24,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-24,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-24,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,32,2026,
2026-04-24,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-24,Computer-aided clinical skin disease diagnosis using CNN and object detection models,25,2019,
2026-04-24,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-24,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-24,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-24,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-24,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-24,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-24,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-24,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-24,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-25,AutoML: A survey of the state-of-the-art,2667,2021,
2026-04-25,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-25,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,140,2025,
2026-04-25,Benchmarking the performance and energy efficiency of AI accelerators for AI training,128,2020,
2026-04-25,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-25,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-25,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-25,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-25,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,32,2026,
2026-04-25,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-25,Computer-aided clinical skin disease diagnosis using CNN and object detection models,25,2019,
2026-04-25,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-25,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-25,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-25,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-25,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-25,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-25,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,3,2025,
2026-04-25,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-25,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-26,AutoML: A survey of the state-of-the-art,2667,2021,
2026-04-26,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-26,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,140,2025,
2026-04-26,Benchmarking the performance and energy efficiency of AI accelerators for AI training,128,2020,
2026-04-26,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-26,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-26,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-26,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-26,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,32,2026,
2026-04-26,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-26,Computer-aided clinical skin disease diagnosis using CNN and object detection models,25,2019,
2026-04-26,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-26,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-26,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-26,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-26,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-26,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-26,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,3,2025,
2026-04-26,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-26,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-27,AutoML: A survey of the state-of-the-art,2668,2021,
2026-04-27,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-27,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,141,2025,
2026-04-27,Benchmarking the performance and energy efficiency of AI accelerators for AI training,128,2020,
2026-04-27,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-27,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-27,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-27,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-27,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,32,2026,
2026-04-27,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-27,Computer-aided clinical skin disease diagnosis using CNN and object detection models,25,2019,
2026-04-27,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-27,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-27,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-27,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-27,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-27,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-27,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-27,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-27,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-28,AutoML: A survey of the state-of-the-art,2671,2021,
2026-04-28,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-28,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,141,2025,
2026-04-28,Benchmarking the performance and energy efficiency of AI accelerators for AI training,128,2020,
2026-04-28,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-28,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-28,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-28,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-28,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,32,2026,
2026-04-28,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-28,Computer-aided clinical skin disease diagnosis using CNN and object detection models,25,2019,
2026-04-28,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-28,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-28,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-28,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-28,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-28,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-28,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-28,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-28,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
2026-04-29,AutoML: A survey of the state-of-the-art,2673,2021,
2026-04-29,Virtual homogeneity learning: Defending against data heterogeneity in federated learning,147,2022,
2026-04-29,BurstGPT: A Real-world Workload Dataset to Optimize LLM Serving Systems,141,2025,
2026-04-29,Benchmarking the performance and energy efficiency of AI accelerators for AI training,129,2020,
2026-04-29,Benchmarking deep learning models and automated model design for COVID-19 detection with chest CT scans,67,2020,
2026-04-29,Automated model design and benchmarking of deep learning models for covid-19 detection with chest ct scans,57,2021,
2026-04-29,Fusionai: Decentralized training and deploying llms with massive consumer-level gpus,47,2023,
2026-04-29,EAGAN: Efficient two-stage evolutionary architecture search for GANs,39,2022,
2026-04-29,ExpertFlow: Efficient Mixture-of-Experts Inference via Predictive Expert Caching and Token Scheduling,32,2026,
2026-04-29,Evolutionary multi-objective architecture search framework: Application to covid-19 3d ct classification,27,2022,
2026-04-29,Computer-aided clinical skin disease diagnosis using CNN and object detection models,25,2019,
2026-04-29,Nas-lid: Efficient neural architecture search with local intrinsic dimension,22,2023,
2026-04-29,Fault-Tolerant Hybrid-Parallel Training at Scale with Reliable and Efficient In-memory Checkpointing,18,2024,
2026-04-29,FusionLLM: a decentralized LLM training system on geo-distributed GPUs with adaptive compression,13,2024,
2026-04-29,MedPipe: End-to-End Joint Search of Data Augmentation Policy and Neural Architecture for 3D Medical Image Classification,8,2023,
2026-04-29,Lang-PINN: From Language to Physics-Informed Neural Networks via a Multi-Agent Framework,6,2026,
2026-04-29,Ghost in the cloud: Your geo-distributed large language models training is easily manipulated,4,2026,
2026-04-29,Autohete: An automatic and efficient heterogeneous training system for llms,3,2025,
2026-04-29,Routemark: A fingerprint for intellectual property attribution in routing-based model merging,2,2025,
2026-04-29,GM-Skip: Metric-Guided Transformer Block Skipping for Efficient Vision-Language Models,1,2025,
